Rk,Team,Conf,Rec,Elo,Prev,Change,Last 3,Next Game
345,Fairleigh Dickinson,NEC,0-0,778,778,0,0,Away Team
346,Central Connecticut,NEC,0-0,777,777,0,0,Away Team
347,Charleston Southern,BSth,0-0,775,775,0,0,Away Team
348,North Dakota,Sum,0-0,775,775,0,0,Away Team
349,Holy Cross,Pat,0-0,773,773,0,0,Away Team
350,Lamar,WAC,0-0,773,773,0,0,Away Team
351,Columbia,Ivy,0-0,763,763,0,0,Away Team
352,Arkansas Pine Bluff,SWAC,0-0,757,757,0,0,Away Team
353,Incarnate Word,Slnd,0-0,753,753,0,0,Away Team
354,Maine,AE,0-0,751,751,0,0,Away Team
355,Mississippi Valley St.,SWAC,0-0,746,746,0,0,Away Team
356,Delaware St.,MEAC,0-0,729,729,0,0,Away Team
357,Eastern Illinois,OVC,0-0,714,714,0,0,Away Team
358,IUPUI,Horz,0-0,656,656,0,0,Away Team
