Rk,Team,Conf,Rec,Elo
245,Texas A&M Corpus Chris,Slnd,23-12,880
246,Mount St. Mary's,NEC,14-16,879
247,Elon,CAA,22-Oct,879
248,Montana,BSky,18-14,877
249,UMass Lowell,AE,15-16,877
250,Western Illinois,Sum,16-16,875
251,Stony Brook,AE,18-13,875
252,South Florida,Amer,23-Aug,874
253,Georgia Southern,SB,13-16,866
254,Youngstown St.,Horz,19-15,862
255,Northeastern,CAA,22-Sep,859
256,Portland St.,BSky,14-17,859
257,Manhattan,MAAC,15-15,858
258,Canisius,MAAC,21-Nov,857
259,Tennessee Tech,OVC,21-Nov,854
260,Eastern Kentucky,ASun,13-18,854
261,UC San Diego,BW,13-16,853
262,USC Upstate,BSth,15-17,852
263,Presbyterian,BSth,20-Dec,852
264,Lipscomb,ASun,14-19,851
265,Alcorn St.,SWAC,17-17,851
266,Miami OH,MAC,14-18,850
267,Ball St.,MAC,14-17,846
268,Louisiana Monroe,SB,13-18,846
269,Air Force,MWC,18-Nov,844
270,New Orleans,Slnd,18-14,844
271,Loyola MD,Pat,14-16,842
272,North Florida,ASun,20-Nov,842
273,Tennessee St.,OVC,14-18,842
274,Southeastern Louisiana,Slnd,19-15,840
275,FIU,CUSA,15-17,838
276,Cal St. Bakersfield,BW,19-Aug,833
277,Jackson St.,SWAC,19-Nov,831
278,Dixie St.,WAC,13-18,830
279,Pepperdine,WCC,25-Jul,822
280,Duquesne,A10,24-Jun,819
281,Prairie View A&M,SWAC,19-Aug,818
282,Hartford,AE,20-Dec,816
283,Radford,BSth,18-Nov,813
284,Bowling Green,MAC,13-18,813
285,North Carolina Central,MEAC,16-15,810
286,Albany,AE,13-18,808
287,Illinois Chicago,Horz,14-16,807
288,San Jose St.,MWC,23-Aug,805
289,North Carolina A&T,BSth,20-Dec,803
290,Binghamton,AE,17-Dec,803
291,Austin Peay,OVC,17-Dec,801
292,Morgan St.,MEAC,13-15,799
293,Pacific,WCC,22-Aug,799
294,Denver,Sum,21-Nov,797
295,Army,Pat,15-16,796
296,Western Carolina,SC,21-Nov,793
297,Northern Illinois,MAC,21-Sep,792
298,SIU Edwardsville,OVC,21-Nov,790
299,Merrimack,NEC,14-16,788
300,Coppin St.,MEAC,23-Sep,785
301,UT Rio Grande Valley,WAC,23-Aug,784
302,Lehigh,Pat,13-19,779
303,Grambling St.,SWAC,20-Dec,775
304,Stetson,ASun,19-Nov,772
305,St. Thomas,Sum,20-Oct,771
306,South Carolina St.,MEAC,15-16,770
307,Tennessee Martin,OVC,22-Aug,768
308,Cal Poly,BW,21-Jul,767
309,Florida A&M,SWAC,13-17,767
310,McNeese St.,Slnd,22-Nov,762
311,Alabama St.,SWAC,21-Oct,758
312,UTSA,CUSA,22-Oct,758
313,Maryland Eastern Shore,MEAC,16-Nov,758
314,Alabama A&M,SWAC,18-Dec,753
315,North Alabama,ASun,21-Sep,752
316,Eastern Michigan,MAC,21-Oct,751
317,Sacramento St.,BSky,18-Nov,749
318,Central Michigan,MAC,23-Jul,748
319,Central Arkansas,ASun,20-Nov,741
320,Sacred Heart,NEC,20-Oct,741
321,Evansville,MVC,24-Jun,740
322,St. Francis NY,NEC,20-Oct,740
323,Lafayette,Pat,20-Oct,736
324,Idaho,BSky,22-Sep,733
325,St. Francis PA,NEC,21-Sep,733
326,Hampton,BSth,19-Sep,725
327,Robert Morris,Horz,24-Aug,714
328,Little Rock,SB,19-Sep,713
329,Western Michigan,MAC,23-Aug,711
330,Northwestern St.,Slnd,23-Sep,695
331,American,Pat,22-Oct,635
332,Cal St. Northridge,BW,23-Jul,635
333,Bethune Cookman,SWAC,21-Sep,598
334,Northern Arizona,BSky,23-Sep,581
335,Milwaukee,Horz,22-Oct,571
336,Bucknell,Pat,23-Sep,567
337,Houston Baptist,Slnd,18-Nov,563
338,William & Mary,CAA,27-May,549
339,Idaho St.,BSky,23-Jul,533
340,Chicago St.,WAC,25-Jul,525
341,Southern Miss,CUSA,26-Jul,509
342,NJIT,AE,18-Nov,474
343,Green Bay,Horz,25-May,458
344,Nebraska Omaha,Sum,25-May,447
345,Fairleigh Dickinson,NEC,22-Apr,368
346,Central Connecticut,NEC,24-Aug,367
347,Charleston Southern,BSth,25-Jun,349
348,North Dakota,Sum,25-Jun,349
349,Holy Cross,Pat,22-Sep,339
350,Lamar,WAC,27-Feb,333
351,Columbia,Ivy,22-Apr,267
352,Arkansas Pine Bluff,SWAC,24-Jul,229
353,Incarnate Word,Slnd,25-Jul,198
354,Maine,AE,23-Jun,187
355,Mississippi Valley St.,SWAC,26-Feb,152
356,Delaware St.,MEAC,26-Feb,17
357,Eastern Illinois,OVC,26-May,0
358,IUPUI,Horz,26-Mar,0
